n_T,dT,N_obs,Ea_true,Psi,cond,D,coverage,cov_t,cov_z,cov_znodf,rmse_Ea,bias_Ea,reported_halfwidth,true_sd,R2,n_ok,relerr_Ea,SE_ratio
3,3.148476176692135,136.0,62.523600123482,2.1434966211717814,307029.5744047819,1187.716824733939,0.98,0.98,0.805,0.6675,2.095956988895045,-0.041636478965176645,24.078482630093585,2.0955433908457652,0.9991018710412648,400,0.03352265360208947,5.862412666356892
3,4.955076835380325,155.0,60.180494797332514,21.41235090702766,228009.38573838756,10224.467865202738,0.94,0.94,0.695,0.5375,0.6220638804893032,-0.010645250905153834,5.462725687707616,0.6219727888280775,0.9999489322835828,400,0.010336636190583066,4.481072151017148
5,2.623947639043104,330.0,55.22635659525525,0.14406003340224555,432391.41735258343,94.7288017014699,0.9625,0.9625,0.8425,0.78,8.742263772212084,0.1529134927793821,24.660659306265014,8.740926342594237,0.9418471760924052,400,0.15829876006999116,1.4394319938948774
4,14.817356606657297,231.0,20.98143978723126,27.19421756585932,18455.8733989305,3694.399603657946,0.97,0.97,0.86,0.765,0.41106017754419344,-0.007004865002934188,1.780816626320698,0.41100048835610226,0.9992132648107721,400,0.019591609618437797,2.210654091974928
5,2.940592158515642,228.0,22.914643906301755,1.7757437174450816,350971.68582473445,1052.0014240269843,0.9775,0.9775,0.895,0.825,2.358820530394184,-0.05036948529714091,7.320039099097729,2.358282682283869,0.969858663394187,400,0.1029394364599087,1.5836582501862762
4,2.827268671908488,378.0,39.1082503311323,1.6911487825620455,463197.7765009239,1150.9727731255957,0.9775,0.9775,0.865,0.76,2.5408290507469404,-0.020011883954513296,10.77290021298828,2.540750241487775,0.9918151438308296,400,0.06496913130179854,2.1632892402951853
3,36.299557585630765,195.0,64.97031183766023,24.63211675104273,3063.8003794515125,1363.427241969848,0.96,0.96,0.76,0.5225,0.7530898897936148,0.07346148439171107,6.1530569178065875,0.749498360518771,0.9999452712955383,400,0.011591292522580813,4.18855453107336
5,4.098572188852671,301.0,27.44793337113316,0.10552326575497477,293695.2663466685,57.18691868869297,0.9625,0.9625,0.8925,0.8325,8.681058130121519,-0.2712797386795025,28.012286427873057,8.676818400884677,0.7615823865970053,400,0.3162736521085897,1.647145556245203
6,22.928445402854496,276.0,54.11617025851969,12.975818645850147,7396.80419429688,1115.9810709598914,0.96,0.96,0.91,0.855,0.8854284328848039,-0.03572381542968662,2.8010002584823024,0.8847074763852656,0.9986037484974297,400,0.016361624051646706,1.6153155734262852
5,26.903408542152746,216.0,67.22865092654756,26.211214325960565,12136.468741133713,2887.575261416043,0.565,0.565,0.255,0.1825,1.3399563678585895,0.12042639379698614,0.9341476202072241,1.334533833007555,0.9999417511586253,400,0.019931329119226182,0.35713289306653123
3,4.143564071231894,273.0,25.977882801114745,1.2252313964028394,127247.75248665697,437.06212926148567,0.96,0.96,0.81,0.68,2.878404733456355,0.30952919574742904,35.886563458701296,2.8617137324624036,0.9889410995500876,400,0.11080212946887415,6.398079215506986
5,44.53734403989504,255.0,62.07383888358726,0.4576488489937008,3097.34647735395,25.46990171790607,0.9125,0.9125,0.7725,0.5225,10.584192407425371,4.012463126564313,4.647187470813016,9.794144606618929,0.998360759848159,400,0.1705097122682371,0.24208484874917857
6,3.565843266176966,240.0,58.547371504366495,16.351644229698422,426786.007533054,10682.342924711416,0.965,0.965,0.91,0.835,0.760979048809324,0.04512798522202985,2.0738022554655937,0.7596397683616517,0.9993542003591294,400,0.012997663759381065,1.3928475302438643
6,11.8562044439559,275.0,55.70363233783781,1.7086662286606444,35413.92103547668,321.5468379100991,0.97,0.97,0.9025,0.8125,2.2526137663972126,0.19087501582924993,5.713235060813045,2.2445123098112916,0.9946512588326557,400,0.040439261711611565,1.2986856140693954
5,3.9542863934377586,168.0,66.45061176675452,6.671931075380974,309432.9935337714,3711.37519292263,0.9725,0.9725,0.8975,0.84,1.082234092130568,-0.011248595189832874,3.5080065909897225,1.082175632361,0.9991855532203207,400,0.016286292381013315,1.6538898378374791
3,11.887968620396457,160.0,69.90561844845197,107.05943448302713,16600.02694305358,13793.654429124921,0.97,0.97,0.82,0.7025,0.2700423266601137,0.003708806998893017,3.940966081220722,0.27001685676759607,0.9999802718301147,400,0.003862955977697865,7.4465609454348405
5,36.61100221266984,315.0,37.64533473848711,81.98587366841315,3141.628126646051,4595.326961475852,0.985,0.985,0.91,0.845,0.3908972764529226,0.026454031574129094,1.26056115102805,0.39000110891097167,0.9996717648257106,400,0.010383684437086028,1.6490810659435364
4,41.036270704263416,265.0,16.343352725316237,17.496103896956516,2486.09052130083,872.3681835192493,0.9325,0.9325,0.7975,0.6775,0.7691226843935892,-0.09118651667072415,2.4874486840407166,0.7636980573670855,0.9974204181398834,400,0.0470602756558145,1.6617908860796353
6,6.13240833710892,240.0,39.3221404883455,1.7128105679081698,279537.27077745163,905.5849455627227,0.92,0.92,0.8275,0.7675,1.8253318882345952,0.10964428207463073,3.9861970129143094,1.8220358486084767,0.9949227499101109,400,0.04641995236184044,1.1162096441373541
6,31.575252946100115,511.0,38.99980128387803,856.7225161700597,4613.039041114445,58188.0423362666,0.97,0.97,0.9025,0.81,0.12868570803114174,0.004227249728177736,0.325696852996424,0.12861625795836185,0.9999636271150707,400,0.0032996503519195776,1.2919973447484538
6,10.747000876994772,588.0,16.725137587397743,4.83749458460433,28596.183759737538,818.0399837997991,0.9675,0.9675,0.8975,0.86,1.4881437988045438,-0.0016693285877858299,4.184885237099694,1.488142862517737,0.9685496444402135,400,0.08897647574067481,1.4347718776946714
3,9.669727020272697,225.0,57.70428685136186,5.207896803429431,30532.324260418623,910.0019080843122,0.94,0.94,0.66,0.49,1.7027662356809985,0.08281351870798623,11.617273705521217,1.7007512382751453,0.9997517475741072,400,0.02950848764610999,3.485036687676796
5,3.5262114604467403,200.0,25.54767465786185,2.079646702746839,415207.50856720906,1340.0535733763788,0.94,0.94,0.805,0.69,2.154375250517517,0.12052017716100914,4.545519217083621,2.1510015357826906,0.9907162658940952,400,0.08432764544598369,1.0781686666029517
