n_T,n_t,dT,N_obs,Ea_true,sigma_y,sigma_lnk,E_het,D_het,E,D,A,c_deg,c_Ea,cond,lambda_min,lambda_max,rmse_Ea,rmse_deg,relerr_Ea,frac_ok
4,7,33.42856916765485,217.0,27.752275330876937,0.009211499950110514,0.005983970235145141,212.53970110743808,30989.87145595989,243.92946667700858,15834.629307815936,487.74318789991673,243.92946667702094,289.6229396211328,4213.929536901223,243.92946667700858,1027901.5845508092,0.16105765209481535,0.17536909169177164,0.005803403511049201,1.0
6,4,7.926204094053059,288.0,60.1787372264757,0.048255878127939876,0.028494425596602993,2.6703515144077348,644.7430238386985,1.5151142345724147,397.8030104235075,3.0301845125808446,1.5151142345705575,1.784528333267411,68935.88792894919,1.5151142345724147,104445.7450740396,2.496611343065958,2.709431238129176,0.041486602380343254,1.0
6,4,3.6871714329833356,288.0,65.29462114724018,0.027882111665891964,0.015327392692819783,1.1879091362042615,743.9126412080665,1.156167390093054,655.8479615155093,2.3123275942241226,1.1561673900891831,1.403493540748885,321784.3470279985,1.156167390093054,372036.5686761586,2.7799031733109536,3.06311246372431,0.042574765340045964,1.0
6,6,14.482878609850744,474.0,64.14887149073888,0.009976126765149333,0.004538648205651499,189.23716140099842,36577.988919189054,187.40638449993145,29105.710259176456,374.79723051247623,187.40638449983254,220.89320432605808,24120.574027435116,187.40638449993145,4520349.570544565,0.2874603492858716,0.31230268832135,0.004481144291484099,1.0
6,5,10.389672542040337,370.0,31.489499504284225,0.027108817310686244,0.013103095552329136,5.563323964672667,1880.05320475926,5.7391312306752,1692.055442742319,11.478130412603573,5.739131230675676,6.642709724228643,86923.43248413235,5.7391312306752,498864.9860471712,1.3826002986486532,1.4878074502385843,0.04390670923367794,1.0
5,7,12.73884789069173,441.0,42.63510060036486,0.06304003580443467,0.026984609123854798,5.17669755215865,944.1972533963468,3.413861859673542,586.093366416895,6.827492076184298,3.413861859671972,3.970318301466073,29474.179538349814,3.413861859673542,100620.77737114276,1.7378017332506996,1.8749179777315548,0.04075988349458305,1.0
3,6,11.748725999412368,300.0,58.7677165829838,0.007369236513937949,0.0027368306296996366,256.4464912473114,46970.8213283029,305.67508927330783,49101.0451444939,611.3264859951046,305.6750892733418,361.16637640154704,25802.475683286797,305.67508927330783,7887174.057961046,0.24617979193953307,0.26780525572311986,0.004189031091448165,1.0
3,4,23.5168482110319,124.0,60.927720707486436,0.04801543417527764,0.03573906058268967,2.6810406132380056,271.7183964865133,2.870751817129155,284.6678848668939,5.740919791594667,2.870751817128933,3.3388854570615436,9832.991237986105,2.870751817129155,28228.077464263668,1.5745990317048801,1.7033538667338286,0.025843721272038375,1.0
3,5,3.200193997740797,195.0,39.08105817439628,0.014987750474045481,0.006583869461280054,2.5461980631436387,1671.0135208923427,2.6548163628290755,1675.8507959238366,5.309619400808282,2.654816362818928,3.1215372077541024,398475.5956540982,2.6548163628290755,1057879.5315305623,2.001059589391908,2.1699059955032434,0.05120279958803393,1.0
5,7,2.1383519409668033,469.0,55.266950753666514,0.008926775672575802,0.0034218907131633564,4.343835589880832,5898.509515857151,4.274782381199194,5350.24048290291,8.549559304449899,4.2747823811722485,5.002695551152896,1566457.386017173,4.274782381199194,6696264.434645556,1.5328921260206194,1.6582934753445278,0.027736144388586962,1.0
4,7,32.11957315730244,182.0,25.221284739703304,0.01642437954838729,0.010062946513480962,53.60231605351672,5550.032847931289,50.82917070364968,3916.040777588299,101.64121755408894,50.829170703645225,59.72709493168816,5935.6510686086185,50.82917070364968,301704.2214036081,0.3857336503917749,0.4184849403315041,0.015293973101400089,1.0
6,7,13.25513749255725,413.0,55.9812118335507,0.0711491611978043,0.033231864590070666,1.8754083388685143,405.6641526429398,1.9911855655615913,356.5048195395571,3.982246902737208,1.9911855655616366,2.378965907523907,32055.853165927405,1.9911855655615913,63829.152115756486,2.0127918253740797,2.2014113901547847,0.03595477410097385,1.0
5,4,14.377138573978245,208.0,47.016446241585356,0.04998670566602545,0.0325681427900409,1.9935809515618146,412.66075822581564,2.0350805690447262,342.99283327142274,4.070017856812342,2.035080569043859,2.3996767000309074,28405.790262000748,2.0350805690447262,57808.07181055762,1.8987987292860906,2.0635251210714967,0.04038584114863686,1.0
6,6,11.845989307287901,534.0,15.13628041177565,0.01431350785823582,0.0055276555872597445,100.89222290246548,19742.99219409114,102.0135513430324,18927.044563014373,204.02117581657964,102.01355134307632,122.98653154284118,34423.091871109,102.0135513430324,3511621.849979299,0.37156937063442713,0.4080819607877428,0.024548261562685865,1.0
6,5,25.67658515172664,325.0,36.815082834289164,0.0066454883600093224,0.003859648088086719,1019.338926878494,83801.89342439384,815.3351537018657,64686.55966445224,1630.4112825723407,815.3351537017809,958.981366441751,6294.420789257846,815.3351537018657,5132062.541673765,0.0979191994146195,0.10653925220883359,0.0026597576828869345,1.0
3,4,31.274324842743447,104.0,56.4493105393526,0.0584876879031798,0.052529218941298084,3.6793672154724453,229.1578870437799,3.0595275219210505,184.30306820081097,6.117369235135229,3.0595275219212494,3.6049037123142234,3628.744595250865,3.0595275219210505,11102.243959192285,1.5564908005746638,1.6955589576655155,0.027573247320524574,1.0
6,7,4.4206267974964515,476.0,19.268478174275785,0.018323052085537573,0.008227854497963141,4.963292339168757,3180.7792478614256,4.0097518152775855,2180.8238418712754,8.019476519898953,4.009751815271429,4.734841725673749,295805.46106796816,4.0097518152775855,1186106.4844863084,1.497778824628739,1.6275933057264318,0.07773207676713854,1.0
4,4,9.660052317066658,164.0,13.877548090978328,0.03209237462086283,0.018990892479590474,7.77073801173179,1188.181249658597,5.4683598806571245,868.3437388184013,10.93628605006592,5.468359880656043,6.632698367084722,25215.592509311628,5.4683598806571245,137887.934444918,1.2164657538397166,1.340888487760627,0.08765710958915936,1.0
